id,formula,cif_path,split,y_true,model_energy_per_atom,pred_element_reference,pred_affine_energy_composition,pred_composition_only_linear,natoms,nelements
mp-1227112,CaPb3Se4,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-1227112.cif,train,-1.0699016895312496,-4.300265789031982,-1.049043691038448,-1.0497696806808392,-0.7964814928811642,8,3
mp-1018764,Li3HoSb2,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-1018764.cif,train,-0.9633130275,-3.903190930684408,-0.9616074045148704,-0.962307131022034,-0.718181803869142,6,3
mp-7219,Na2ZrSe3,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-7219.cif,train,-1.5552283211979183,-4.90168825785319,-1.4726646285655969,-1.4734734796136868,-1.191276042891579,12,3
mp-32750,CuI,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-32750.cif,train,-0.1909236674999981,-2.956776857376098,-0.214488170567634,-0.2141078950900086,-0.3467809815616249,8,2
mp-1225016,FeCo,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-1225016.cif,train,-0.113010075,-7.7952165603637695,-0.0585577492701272,-0.0595290288880141,0.2793375883433028,2,2
mp-1185880,MgHg3,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-1185880.cif,train,-0.0533292843750032,-0.6856074333190918,-0.0514133479819651,-0.0521373991887994,0.2004744940719518,4,2
mp-22386,InAgTe2,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-22386.cif,train,-0.3761139775000011,-3.248875617980957,-0.3348300851605383,-0.3350088310513905,-0.2726467529582141,8,3
mp-756935,Li3SbO3,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-756935.cif,train,-1.9344593769642864,-5.286798749651227,-2.1194978952499985,-2.1203410400218736,-1.8261789764670928,28,3
mp-11168,Ca(PIr)2,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-11168.cif,train,-1.017184773190479,-6.994863891601563,-0.9469553019119736,-0.9473534222519416,-0.8084544992548091,15,3
mp-636264,La(CuSn)2,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-636264.cif,train,-0.5056304490000002,-4.698220825195312,-0.4555712131119014,-0.4562847828974883,-0.2073297189432275,10,3
