method,formula_group,n_structures,pair_count,pairwise_order_accuracy,pairwise_tie_rate,top1_correct,spearman_rho,near_degenerate_pair_count,near_degenerate_pair_accuracy,near_degenerate_tie_rate,true_energy_range_mev_atom,pred_energy_range_mev_atom
full_ft,LiMnPO4,2,1,0.0,0.0,False,-0.9999999999999999,1,0.0,0.0,23.38515142857256,8.985042572021928
full_ft,Ti(FeO2)2,2,1,0.0,0.0,False,-0.9999999999999999,0,,,54.65193392857248,19.81806755065918
full_ft,MnFeCo(PO4)3,2,1,0.0,0.0,False,-0.9999999999999999,1,0.0,0.0,4.826321666666633,8.212566375732422
full_ft,SbH3CS2N,2,1,0.0,0.0,False,-0.9999999999999999,0,,,44.47482374999979,339.2481654882431
full_ft,BaFe4Sn2O11,2,1,0.0,0.0,False,-0.9999999999999999,0,,,40.74049444444494,9.615659713745117
full_ft,Li5V3P8O29,2,1,0.0,0.0,False,-0.9999999999999999,1,0.0,0.0,4.247854666666218,3.4918785095214844
full_ft,ZrTi2(PbO3)3,2,1,0.0,0.0,False,-0.9999999999999999,1,0.0,0.0,8.470960666666638,7.051229476928267
full_ft,CdI2,4,6,0.6666666666666666,0.0,True,0.39999999999999997,6,0.6666666666666666,0.0,6.41431214285737,7.3013901710510805
full_ft,CrN2,4,6,0.8333333333333334,0.0,True,0.7999999999999999,2,0.5,0.0,147.01220083333422,281.0838147997856
full_ft,Li9Mn2Co5O16,8,28,0.8571428571428571,0.0,False,0.8571428571428572,14,0.7142857142857143,0.0,61.79282625000005,36.426782608032006
full_ft,SiO2,5,10,0.9,0.0,True,0.8999999999999998,1,1.0,0.0,292.54352500000147,277.9552936553955
full_ft,LiCoPO4,4,6,1.0,0.0,True,1.0,2,1.0,0.0,76.20113333333211,113.79623413085938
full_ft,Li2Cr2O7,3,3,1.0,0.0,True,1.0,1,1.0,0.0,41.94014181818106,51.66971683502197
full_ft,CeSe2,3,3,1.0,0.0,True,1.0,0,,,445.368716875,552.0584583282468
full_ft,Li7Mn4CoO12,3,3,1.0,0.0,True,1.0,2,1.0,0.0,30.706641666667256,13.758659362792969
full_ft,Li7Mn2(CoO4)3,2,1,1.0,0.0,True,0.9999999999999999,1,1.0,0.0,17.12588874999943,2.1483898162844017
full_ft,Li3MnCoO5,2,1,1.0,0.0,True,0.9999999999999999,0,,,48.65955049999982,30.064940452575463
full_ft,FeHO2,2,1,1.0,0.0,True,0.9999999999999999,0,,,113.55212671875049,52.77597904205322
full_ft,LiMnP2O7,2,1,1.0,0.0,True,0.9999999999999999,0,,,36.3000484090894,29.447555541992188
full_ft,Li7V3P8O29,2,1,1.0,0.0,True,0.9999999999999999,1,1.0,0.0,1.0445322340433272,4.252910614013672
full_ft,Li2MnNi3O8,2,1,1.0,0.0,True,0.9999999999999999,0,,,28.894680000000506,49.72493648529031
full_ft,Mn12O5F19,2,1,1.0,0.0,True,0.9999999999999999,1,1.0,0.0,1.9605144444438949,1.2166500091548293
full_ft,Li2MnCoO4,2,1,1.0,0.0,True,0.9999999999999999,1,1.0,0.0,2.4843112499994824,4.051327705383301
full_ft,GaCuTe2,2,1,1.0,0.0,True,0.9999999999999999,0,,,204.86582499999977,286.6630256175994
full_ft,Cr(GeO3)2,2,1,1.0,0.0,True,0.9999999999999999,1,1.0,0.0,7.225673333334459,33.661842346191186
full_ft,LiTl2Pd,2,1,1.0,0.0,True,0.9999999999999999,0,,,1207.5157124999998,383.8724941015243
full_ft,Li3MnV(PO4)3,2,1,1.0,0.0,True,0.9999999999999999,0,,,42.17634337499865,24.598598480225053
full_ft,LiMn2F5,2,1,1.0,0.0,True,0.9999999999999999,0,,,36.38606729166671,44.37160491943315
full_ft,Mg(NiO2)2,2,1,1.0,0.0,True,0.9999999999999999,0,,,46.07057071428633,76.58255100250244
full_ft,LiFeF4,2,1,1.0,0.0,True,0.9999999999999999,0,,,98.96174999999997,67.05641746520996
full_ft,MnO2,2,1,1.0,0.0,True,0.9999999999999999,1,1.0,0.0,23.653702499998985,24.114370346069556
full_ft,Zn2SiO4,2,1,1.0,0.0,True,0.9999999999999999,0,,,51.58053011904684,15.058279037475586
full_ft,Li4MnCo2O7,2,1,1.0,0.0,True,0.9999999999999999,1,1.0,0.0,11.77616285714378,34.21223163604736
